Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (PI) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:34:56  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"PI","PRATA DO PIAUI","PAN","Vereador","0","0","0","0","2.516","0.000",
"PI","QUEIMADA NOVA","PAN","Vereador","0","0","0","0","4.764","0.000",
"PI","REDENCAO DO GURGUEIA","PAN","Vereador","0","0","0","0","4.548","0.000",
"PI","REGENERACAO","PAN","Vereador","0","0","0","0","9.139","0.000",
"PI","RIACHO FRIO","PAN","Vereador","0","0","0","0","3.195","0.000",
"PI","RIBEIRA DO PIAUI","PAN","Vereador","0","0","0","0","2.592","0.000",
"PI","RIBEIRO GONCALVES","PAN","Vereador","0","0","0","0","4.125","0.000",
"PI","RIO GRANDE DO PIAUI","PAN","Vereador","0","0","0","0","4.592","0.000",
"PI","SANTA CRUZ DO PIAUI","PAN","Vereador","0","0","0","0","3.935","0.000",
"PI","SANTA CRUZ DOS MILAGRES","PAN","Vereador","0","0","0","0","2.400","0.000",
"PI","SANTA FILOMENA","PAN","Vereador","0","0","0","0","3.118","0.000",
"PI","SANTA LUZ","PAN","Vereador","0","0","0","0","3.238","0.000",
"PI","SANTA ROSA DO PIAUI","PAN","Vereador","0","0","0","0","3.204","0.000",
"PI","SANTANA DO PIAUI","PAN","Vereador","0","0","0","0","3.078","0.000",
"PI","SANTO ANTONIO DE LISBOA","PAN","Vereador","0","0","0","0","3.736","0.000",
"PI","SANTO ANTONIO DOS MILAGRES","PAN","Vereador","0","0","0","0","1.360","0.000",
"PI","SANTO INACIO DO PIAUI","PAN","Vereador","0","0","0","0","2.354","0.000",
"PI","SAO BRAZ DO PIAUI","PAN","Vereador","0","0","0","0","2.571","0.000",
"PI","SAO FELIX DO PIAUI","PAN","Vereador","0","0","0","0","2.824","0.000",
"PI","SAO FRANCISCO DE ASSIS DO PIAUI","PAN","Vereador","0","0","0","0","2.915","0.000",
"PI","SAO FRANCISCO DO PIAUI","PAN","Vereador","0","0","0","0","3.913","0.000",
"PI","SAO GONCALO DO GURGUEIA","PAN","Vereador","0","0","0","0","1.707","0.000",
"PI","SAO GONCALO DO PIAUI","PAN","Vereador","0","0","0","0","3.034","0.000",
"PI","SAO JOAO DA CANABRAVA","PAN","Vereador","0","0","0","0","2.927","0.000",
"PI","SAO JOAO DA FRONTEIRA","PAN","Vereador","0","0","0","0","3.183","0.000",
"PI","SAO JOAO DA SERRA","PAN","Vereador","0","0","0","0","4.748","0.000",
"PI","SAO JOAO DA VARJOTA","PAN","Vereador","0","0","0","0","2.670","0.000",
"PI","SAO JOAO DO ARRAIAL","PAN","Vereador","0","0","0","0","4.069","0.000",
"PI","SAO JOAO DO PIAUI","PAN","Vereador","0","0","0","0","9.738","0.000",
"PI","SAO JOSE DO DIVINO","PAN","Vereador","0","0","0","0","3.487","0.000",
"PI","SAO JOSE DO PEIXE","PAN","Vereador","0","0","0","0","2.284","0.000",
"PI","SAO JOSE DO PIAUI","PAN","Vereador","0","0","0","0","4.299","0.000",
"PI","SAO JULIAO","PAN","Vereador","0","0","0","0","3.824","0.000",
"PI","SAO LOURENCO DO PIAUI","PAN","Vereador","0","0","0","0","3.650","0.000",
"PI","SAO LUIS DO PIAUI","PAN","Vereador","0","0","0","0","1.852","0.000",
"PI","SAO MIGUEL DA BAIXA GRANDE","PAN","Vereador","0","0","0","0","1.761","0.000",
"PI","SAO MIGUEL DO FIDALGO","PAN","Vereador","0","0","0","0","1.855","0.000",
"PI","SAO MIGUEL DO TAPUIO","PAN","Vereador","0","0","0","0","11.551","0.000",
"PI","SAO PEDRO DO PIAUI","PAN","Vereador","0","0","0","0","7.600","0.000",
"PI","SAO RAIMUNDO NONATO","PAN","Vereador","0","0","0","0","14.739","0.000",
"PI","SEBASTIAO BARROS","PAN","Vereador","0","0","0","0","3.134","0.000",
"PI","SEBASTIAO LEAL","PAN","Vereador","0","0","0","0","2.380","0.000",
"PI","SIGEFREDO PACHECO","PAN","Vereador","0","0","0","0","5.331","0.000",
"PI","SIMPLICIO MENDES","PAN","Vereador","0","0","0","0","7.213","0.000",
"PI","SOCORRO DO PIAUI","PAN","Vereador","0","0","0","0","3.132","0.000",
"PI","SUSSUAPARA","PAN","Vereador","0","0","0","0","4.408","0.000",
"PI","TANQUE DO PIAUI","PAN","Vereador","0","0","0","0","1.688","0.000",
"PI","TERESINA","PAN","Vereador","0","45","338","383","371.158","0.103",
"PI","UNIAO","PAN","Vereador","0","0","0","0","22.410","0.000",
"PI","URUCUI","PAN","Vereador","0","0","0","0","9.693","0.000",
"PI","VALENCA DO PIAUI","PAN","Vereador","0","0","0","0","11.912","0.000",
"PI","VARZEA BRANCA","PAN","Vereador","0","0","0","0","2.821","0.000",
"PI","VERA MENDES","PAN","Vereador","0","0","0","0","2.025","0.000",
"PI","VILA NOVA DO PIAUI","PAN","Vereador","0","0","0","0","1.988","0.000",
"PI","WALL FERRAZ","PAN","Vereador","0","0","0","0","2.812","0.000",
"PI","HUGO NAPOLEAO","PAN","Vereador","0","0","0","0","2.834","0.000",
"PI","ILHA GRANDE","PAN","Vereador","0","0","0","0","5.512","0.000",
"PI","INHUMA","PAN","Vereador","0","0","0","0","8.345","0.000",
"PI","IPIRANGA DO PIAUI","PAN","Vereador","0","0","0","0","5.157","0.000",
"PI","ISAIAS COELHO","PAN","Vereador","0","0","0","0","4.952","0.000",
"PI","ITAINOPOLIS","PAN","Vereador","0","0","0","0","6.706","0.000",
"PI","ITAUEIRA","PAN","Vereador","0","0","0","0","6.821","0.000",
"PI","JACOBINA DO PIAUI","PAN","Vereador","0","0","0","0","3.363","0.000",
"PI","JAICOS","PAN","Vereador","0","0","0","0","8.926","0.000",
"PI","JARDIM DO MULATO","PAN","Vereador","0","0","0","0","2.957","0.000",
"PI","JATOBA DO PIAUI","PAN","Vereador","0","0","0","0","3.525","0.000",
"PI","JERUMENHA","PAN","Vereador","0","0","0","0","3.034","0.000",
"PI","JOAO COSTA","PAN","Vereador","0","0","0","0","2.320","0.000",
"PI","JOAQUIM PIRES","PAN","Vereador","0","0","0","0","7.123","0.000",
"PI","JOCA MARQUES","PAN","Vereador","0","0","0","0","2.958","0.000",
"PI","JOSE DE FREITAS","PAN","Vereador","0","0","0","0","19.448","0.000",
"PI","JUAZEIRO DO PIAUI","PAN","Vereador","0","0","0","0","4.689","0.000",
"PI","JULIO BORGES","PAN","Vereador","0","0","0","0","3.082","0.000",
"PI","JUREMA","PAN","Vereador","0","0","0","0","2.948","0.000",
"PI","LAGOA ALEGRE","PAN","Vereador","0","0","0","0","5.015","0.000",
"PI","LAGOA DE SAO FRANCISCO","PAN","Vereador","0","0","0","0","3.483","0.000",
"PI","LAGOA DO BARRO DO PIAUI","PAN","Vereador","0","0","0","0","2.756","0.000",
"PI","LAGOA DO PIAUI","PAN","Vereador","0","0","0","0","2.459","0.000",
"PI","LAGOA DO SITIO","PAN","Vereador","0","0","0","0","3.030","0.000",
"PI","LAGOINHA DO PIAUI","PAN","Vereador","0","0","0","0","1.716","0.000",
"PI","LANDRI SALES","PAN","Vereador","0","0","0","0","3.311","0.000",
"PI","LUIS CORREIA","PAN","Vereador","0","0","0","0","15.658","0.000",
"PI","LUZILANDIA","PAN","Vereador","0","8","0","8","13.590","0.059",
"PI","MADEIRO","PAN","Vereador","0","0","0","0","3.931","0.000",
"PI","MANOEL EMIDIO","PAN","Vereador","0","0","0","0","3.226","0.000",
"PI","MARCOLANDIA","PAN","Vereador","0","0","0","0","3.736","0.000",
"PI","MARCOS PARENTE","PAN","Vereador","0","0","0","0","3.167","0.000",
"PI","MASSAPE DO PIAUI","PAN","Vereador","0","0","0","0","3.979","0.000",
"PI","MATIAS OLIMPIO","PAN","Vereador","0","0","0","0","5.669","0.000",
"PI","MIGUEL ALVES","PAN","Vereador","0","0","0","0","15.517","0.000",
"PI","MIGUEL LEAO","PAN","Vereador","0","0","0","0","858","0.000",
"PI","MILTON BRANDAO","PAN","Vereador","0","0","0","0","4.062","0.000",
"PI","MONSENHOR GIL","PAN","Vereador","0","0","0","0","6.841","0.000",
"PI","MONSENHOR HIPOLITO","PAN","Vereador","0","0","0","0","4.958","0.000",
"PI","MONTE ALEGRE DO PIAUI","PAN","Vereador","0","0","0","0","5.770","0.000",
"PI","MORRO CABECA NO TEMPO","PAN","Vereador","0","0","0","0","2.800","0.000",
"PI","MORRO DO CHAPEU DO PIAUI","PAN","Vereador","0","0","0","0","3.887","0.000",
"PI","MURICI DOS PORTELAS","PAN","Vereador","0","0","0","0","4.228","0.000",
"PI","NAZARE DO PIAUI","PAN","Vereador","0","0","0","0","4.904","0.000",
"PI","NOSSA SENHORA DE NAZARE","PAN","Vereador","0","0","0","0","3.301","0.000",
"PI","NOSSA SENHORA DOS REMEDIOS","PAN","Vereador","0","0","0","0","4.837","0.000",
"PI","NOVA SANTA RITA","PAN","Vereador","0","0","0","0","2.887","0.000",
"PI","NOVO ORIENTE DO PIAUI","PAN","Vereador","0","0","0","0","3.668","0.000",
"PI","NOVO SANTO ANTONIO","PAN","Vereador","0","0","0","0","2.718","0.000",
"PI","OEIRAS","PAN","Vereador","0","0","0","0","19.641","0.000",
"PI","OLHO DAGUA DO PIAUI","PAN","Vereador","0","0","0","0","1.739","0.000",
"PI","PADRE MARCOS","PAN","Vereador","0","0","0","0","4.326","0.000",
"PI","PAES LANDIM","PAN","Vereador","0","0","0","0","2.864","0.000",
"PI","PAJEU DO PIAUI","PAN","Vereador","0","0","0","0","2.341","0.000",
"PI","PALMEIRA DO PIAUI","PAN","Vereador","0","0","0","0","3.158","0.000",
"PI","PALMEIRAIS","PAN","Vereador","0","0","0","0","8.045","0.000",
"PI","PAQUETA","PAN","Vereador","0","0","0","0","2.935","0.000",
"PI","PARNAGUA","PAN","Vereador","0","0","0","0","4.752","0.000",
"PI","PARNAIBA","PAN","Vereador","0","0","0","0","64.443","0.000",
"PI","PASSAGEM FRANCA DO PIAUI","PAN","Vereador","0","0","0","0","2.591","0.000",
"PI","PATOS DO PIAUI","PAN","Vereador","0","0","0","0","3.898","0.000",
"PI","PAU DARCO DO PIAUI","PAN","Vereador","0","0","0","0","2.626","0.000",
"PI","PAULISTANA","PAN","Vereador","0","0","0","0","11.076","0.000",
"PI","PAVUSSU","PAN","Vereador","0","0","0","0","2.817","0.000",
"PI","BONFIM DO PIAUI","PAN","Prefeito","0","0","0","0","2.974","0.000",
"PI","BOQUEIRAO DO PIAUI","PAN","Prefeito","0","0","0","0","3.214","0.000",
"PI","BRASILEIRA","PAN","Prefeito","0","0","0","0","4.441","0.000",
"PI","BREJO DO PIAUI","PAN","Prefeito","0","0","0","0","2.140","0.000",
"PI","BURITI DOS LOPES","PAN","Prefeito","0","0","0","0","9.597","0.000",
"PI","BURITI DOS MONTES","PAN","Prefeito","0","0","0","0","4.190","0.000",
"PI","CABECEIRAS DO PIAUI","PAN","Prefeito","0","0","0","0","5.452","0.000",
"PI","CAJAZEIRAS DO PIAUI","PAN","Prefeito","0","0","0","0","2.029","0.000",
"PI","CAJUEIRO DA PRAIA","PAN","Prefeito","0","0","0","0","4.040","0.000",
"PI","CALDEIRAO GRANDE DO PIAUI","PAN","Prefeito","0","0","0","0","3.411","0.000",
"PI","CAMPINAS DO PIAUI","PAN","Prefeito","0","0","0","0","3.459","0.000",
"PI","CAMPO ALEGRE DO FIDALGO","PAN","Prefeito","0","0","0","0","2.707","0.000",
"PI","CAMPO GRANDE DO PIAUI","PAN","Prefeito","0","0","0","0","2.905","0.000",
"PI","CAMPO LARGO DO PIAUI","PAN","Prefeito","0","0","0","0","3.302","0.000",
"PI","CAMPO MAIOR","PAN","Prefeito","0","0","0","0","25.646","0.000",
"PI","CANAVIEIRA","PAN","Prefeito","0","0","0","0","2.297","0.000",
"PI","CANTO DO BURITI","PAN","Prefeito","0","0","0","0","11.083","0.000",
"PI","CAPITAO DE CAMPOS","PAN","Prefeito","0","0","0","0","6.229","0.000",
"PI","CAPITAO GERVASIO OLIVEIRA","PAN","Prefeito","0","0","0","0","2.382","0.000",
"PI","CARACOL","PAN","Prefeito","0","0","0","0","5.019","0.000",
"PI","CARAUBAS DO PIAUI","PAN","Prefeito","0","0","0","0","3.596","0.000",
"PI","CARIDADE DO PIAUI","PAN","Prefeito","0","0","0","0","2.887","0.000",
"PI","CASTELO DO PIAUI","PAN","Prefeito","0","0","0","0","11.037","0.000",
"PI","CAXINGO","PAN","Prefeito","0","0","0","0","3.536","0.000",
"PI","COCAL","PAN","Prefeito","0","0","0","0","13.138","0.000",
"PI","COCAL DE TELHA","PAN","Prefeito","0","0","0","0","2.774","0.000",
"PI","COCAL DOS ALVES","PAN","Prefeito","0","0","0","0","3.247","0.000",
"PI","COIVARAS","PAN","Prefeito","0","0","0","0","3.131","0.000",
"PI","COLONIA DO GURGUEIA","PAN","Prefeito","0","0","0","0","3.366","0.000",
"PI","COLONIA DO PIAUI","PAN","Prefeito","0","0","0","0","4.038","0.000",
"PI","AROEIRAS DO ITAIM","PAN","Prefeito","0","0","0","0","2.616","0.000",
"PI","SIMOES","PAN","Vereador","0","0","0","0","8.119","0.000",
"PI","TAMBORIL DO PIAUI","PAN","Vereador","0","0","0","0","1.936","0.000",
"PI","VARZEA GRANDE","PAN","Vereador","0","0","0","0","2.872","0.000",
"PI","CONCEICAO DO CANINDE","PAN","Vereador","0","0","0","0","3.192","0.000",
"PI","CORONEL JOSE DIAS","PAN","Vereador","0","0","0","0","3.543","0.000",
"PI","CORRENTE","PAN","Vereador","0","0","0","0","12.056","0.000",
"PI","CRISTALANDIA DO PIAUI","PAN","Vereador","0","0","0","0","4.599","0.000",
"PI","CRISTINO CASTRO","PAN","Vereador","0","0","0","0","5.106","0.000",
"PI","CURIMATA","PAN","Vereador","0","0","0","0","6.408","0.000",
"PI","CURRAIS","PAN","Vereador","0","0","0","0","3.292","0.000",
"PI","CURRAL NOVO DO PIAUI","PAN","Vereador","0","0","0","0","2.432","0.000",
"PI","CURRALINHOS","PAN","Vereador","0","0","0","0","2.765","0.000",
"PI","DEMERVAL LOBAO","PAN","Vereador","0","0","0","0","7.699","0.000",
"PI","DIRCEU ARCOVERDE","PAN","Vereador","0","0","0","0","4.011","0.000",
"PI","DOM EXPEDITO LOPES","PAN","Vereador","0","0","0","0","4.614","0.000",
"PI","DOM INOCENCIO","PAN","Vereador","0","0","0","0","5.293","0.000",
"PI","DOMINGOS MOURAO","PAN","Vereador","0","0","0","0","2.746","0.000",
"PI","ELESBAO VELOSO","PAN","Vereador","0","0","0","0","9.247","0.000",
"PI","ELISEU MARTINS","PAN","Vereador","0","0","0","0","2.911","0.000",
"PI","ESPERANTINA","PAN","Vereador","0","0","0","0","20.161","0.000",
"PI","FARTURA DO PIAUI","PAN","Vereador","0","0","0","0","3.489","0.000",
"PI","FLORES DO PIAUI","PAN","Vereador","0","0","0","0","2.930","0.000",
