Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Quadro Partido/Cargo
UF (PB) - Partido (TODOS) - Cargo (TODOS)
29/03/2009 - 00:33:24  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

UF,Município,Partido,Cargo,(E) Total de Eleitos,Votos de Legenda,Votos Nominais,(VT)Total de Votos,(VC) Votos Válidos,% (VT/VC)
"PB","TAPEROA","PAN","Vereador","0","0","0","0","7.910","0.000",
"PB","TEIXEIRA","PAN","Vereador","0","0","0","0","7.794","0.000",
"PB","TENORIO","PAN","Vereador","0","0","0","0","1.702","0.000",
"PB","TRIUNFO","PAN","Vereador","0","0","0","0","5.543","0.000",
"PB","UIRAUNA","PAN","Vereador","0","0","0","0","8.578","0.000",
"PB","VARZEA","PAN","Vereador","0","0","0","0","1.819","0.000",
"PB","VIEIROPOLIS","PAN","Vereador","0","0","0","0","3.654","0.000",
"PB","VISTA SERRANA","PAN","Vereador","0","0","0","0","2.103","0.000",
"PB","ZABELE","PAN","Vereador","0","0","0","0","1.435","0.000",
"PB","AGUA BRANCA","PAN","Vereador","0","0","0","0","4.818","0.000",
"PB","AGUIAR","PAN","Vereador","0","0","0","0","3.986","0.000",
"PB","ALAGOA GRANDE","PAN","Vereador","0","0","0","0","16.413","0.000",
"PB","ALAGOA NOVA","PAN","Vereador","0","0","0","0","10.779","0.000",
"PB","ALAGOINHA","PAN","Vereador","0","0","0","0","7.579","0.000",
"PB","ALCANTIL","PAN","Vereador","0","1","48","49","3.121","1.570",
"PB","ALGODAO DE JANDAIRA","PAN","Vereador","0","0","0","0","1.815","0.000",
"PB","ALHANDRA","PAN","Vereador","0","0","0","0","10.689","0.000",
"PB","AMPARO","PAN","Vereador","0","0","0","0","1.575","0.000",
"PB","APARECIDA","PAN","Vereador","0","0","0","0","4.682","0.000",
"PB","ARACAGI","PAN","Vereador","0","0","0","0","10.034","0.000",
"PB","ARARA","PAN","Vereador","0","0","0","0","6.135","0.000",
"PB","ARARUNA","PAN","Vereador","0","0","0","0","9.556","0.000",
"PB","AREIA","PAN","Vereador","0","0","0","0","13.861","0.000",
"PB","AREIA DE BARAUNAS","PAN","Vereador","0","0","0","0","1.382","0.000",
"PB","AREIAL","PAN","Vereador","0","0","0","0","3.809","0.000",
"PB","AROEIRAS","PAN","Vereador","0","0","0","0","11.085","0.000",
"PB","ASSUNCAO","PAN","Vereador","0","0","0","0","2.285","0.000",
"PB","BAIA DA TRAICAO","PAN","Vereador","0","0","0","0","3.882","0.000",
"PB","BANANEIRAS","PAN","Vereador","0","0","0","0","12.777","0.000",
"PB","BARRA DE SANTA ROSA","PAN","Vereador","0","0","0","0","7.707","0.000",
"PB","BARRA DE SANTANA","PAN","Vereador","0","0","0","0","5.162","0.000",
"PB","BARRA DE SAO MIGUEL","PAN","Vereador","0","0","0","0","3.861","0.000",
"PB","BAYEUX","PAN","Vereador","0","38","235","273","54.213","0.504",
"PB","BELEM","PAN","Vereador","0","0","0","0","9.545","0.000",
"PB","BELEM DO BREJO DO CRUZ","PAN","Vereador","0","0","0","0","4.377","0.000",
"PB","BERNARDINO BATISTA","PAN","Vereador","0","0","0","0","1.717","0.000",
"PB","BOA VENTURA","PAN","Vereador","0","0","0","0","3.713","0.000",
"PB","BOA VISTA","PAN","Vereador","0","0","0","0","4.019","0.000",
"PB","BOM JESUS","PAN","Vereador","0","0","0","0","1.863","0.000",
"PB","BOM SUCESSO","PAN","Vereador","0","0","0","0","3.761","0.000",
"PB","BONITO DE SANTA FE","PAN","Vereador","0","0","0","0","5.613","0.000",
"PB","BOQUEIRAO","PAN","Vereador","0","0","0","0","10.663","0.000",
"PB","BORBOREMA","PAN","Vereador","0","0","0","0","2.853","0.000",
"PB","BREJO DO CRUZ","PAN","Vereador","0","0","0","0","7.914","0.000",
"PB","BREJO DOS SANTOS","PAN","Vereador","0","0","0","0","4.236","0.000",
"PB","CAAPORA","PAN","Vereador","0","0","0","0","12.134","0.000",
"PB","CABACEIRAS","PAN","Vereador","0","0","0","0","3.373","0.000",
"PB","CABEDELO","PAN","Vereador","0","0","0","0","27.198","0.000",
"PB","CACHOEIRA DOS INDIOS","PAN","Vereador","0","0","0","0","5.650","0.000",
"PB","CACIMBA DE AREIA","PAN","Vereador","0","0","0","0","2.254","0.000",
"PB","NOVA FLORESTA","PAN","Vereador","0","0","0","0","5.363","0.000",
"PB","NOVA OLINDA","PAN","Vereador","0","0","0","0","3.552","0.000",
"PB","NOVA PALMEIRA","PAN","Vereador","0","0","0","0","2.549","0.000",
"PB","OLHO D AGUA","PAN","Vereador","0","0","0","0","5.130","0.000",
"PB","OLIVEDOS","PAN","Vereador","0","0","0","0","2.477","0.000",
"PB","OURO VELHO","PAN","Vereador","0","0","0","0","2.196","0.000",
"PB","PARARI","PAN","Vereador","0","0","0","0","1.269","0.000",
"PB","PASSAGEM","PAN","Vereador","0","0","0","0","1.641","0.000",
"PB","PATOS","PAN","Vereador","0","0","0","0","49.538","0.000",
"PB","PAULISTA","PAN","Vereador","0","0","0","0","7.541","0.000",
"PB","PEDRA BRANCA","PAN","Vereador","0","0","0","0","2.625","0.000",
"PB","PEDRA LAVRADA","PAN","Vereador","0","0","0","0","4.746","0.000",
"PB","PEDRAS DE FOGO","PAN","Vereador","0","0","0","0","15.601","0.000",
"PB","PEDRO REGIS","PAN","Vereador","0","0","0","0","3.019","0.000",
"PB","PIANCO","PAN","Vereador","0","0","0","0","9.658","0.000",
"PB","PICUI","PAN","Vereador","0","0","0","0","11.042","0.000",
"PB","PILAR","PAN","Vereador","0","0","0","0","6.667","0.000",
"PB","PILOES","PAN","Vereador","0","0","0","0","4.759","0.000",
"PB","PILOEZINHOS","PAN","Vereador","0","0","0","0","3.681","0.000",
"PB","PIRPIRITUBA","PAN","Vereador","0","0","0","0","5.607","0.000",
"PB","PITIMBU","PAN","Vereador","0","0","0","0","6.602","0.000",
"PB","POCINHOS","PAN","Vereador","0","0","0","0","9.813","0.000",
"PB","POCO DANTAS","PAN","Vereador","0","0","0","0","2.315","0.000",
"PB","POCO DE JOSE DE MOURA","PAN","Vereador","0","0","0","0","2.998","0.000",
"PB","POMBAL","PAN","Vereador","0","0","0","0","18.015","0.000",
"PB","PRATA","PAN","Vereador","0","0","0","0","2.792","0.000",
"PB","PRINCESA ISABEL","PAN","Vereador","0","0","0","0","10.416","0.000",
"PB","PUXINANA","PAN","Vereador","0","0","0","0","7.406","0.000",
"PB","QUEIMADAS","PAN","Vereador","0","0","0","0","21.184","0.000",
"PB","QUIXABA","PAN","Vereador","0","0","0","0","1.244","0.000",
"PB","REMIGIO","PAN","Vereador","0","0","0","0","9.275","0.000",
"PB","RIACHAO","PAN","Vereador","0","0","0","0","1.988","0.000",
"PB","RIACHAO DO BACAMARTE","PAN","Vereador","0","0","0","0","2.672","0.000",
"PB","RIACHAO DO POCO","PAN","Vereador","0","0","0","0","2.754","0.000",
"PB","RIACHO DE SANTO ANTONIO","PAN","Vereador","0","0","0","0","1.245","0.000",
"PB","RIACHO DOS CAVALOS","PAN","Vereador","0","0","0","0","5.781","0.000",
"PB","RIO TINTO","PAN","Vereador","0","0","0","0","12.968","0.000",
"PB","SALGADINHO","PAN","Vereador","0","0","0","0","2.027","0.000",
"PB","SALGADO DE SAO FELIX","PAN","Vereador","0","0","0","0","6.840","0.000",
"PB","SANTA CRUZ","PAN","Vereador","0","0","0","0","4.550","0.000",
"PB","SANTA HELENA","PAN","Vereador","0","0","0","0","3.889","0.000",
"PB","SANTA INES","PAN","Vereador","0","0","0","0","2.679","0.000",
"PB","SANTA LUZIA","PAN","Vereador","0","0","0","0","9.059","0.000",
"PB","SANTA RITA","PAN","Vereador","0","0","0","0","62.912","0.000",
"PB","SANTA TERESINHA","PAN","Vereador","0","0","0","0","3.410","0.000",
"PB","SANTANA DE MANGUEIRA","PAN","Vereador","0","0","0","0","3.557","0.000",
"PB","SANTAREM","PAN","Vereador","0","0","0","0","1.714","0.000",
"PB","SANTO ANDRE","PAN","Vereador","0","0","0","0","1.980","0.000",
"PB","SAO BENTINHO","PAN","Vereador","0","0","0","0","2.412","0.000",
"PB","SAO BENTO","PAN","Vereador","0","0","0","0","16.920","0.000",
"PB","SAO DOMINGOS DE POMBAL","PAN","Vereador","0","0","0","0","2.316","0.000",
"PB","SAO DOMINGOS DO CARIRI","PAN","Vereador","0","0","0","0","1.937","0.000",
"PB","SAO JOAO DO CARIRI","PAN","Vereador","0","0","0","0","3.091","0.000",
"PB","SAO JOAO DO RIO DO PEIXE","PAN","Vereador","0","1","1","2","11.181","0.018",
"PB","SAO JOAO DO TIGRE","PAN","Vereador","0","0","0","0","2.627","0.000",
"PB","SAO JOSE DA LAGOA TAPADA","PAN","Vereador","0","0","0","0","4.910","0.000",
"PB","SAO JOSE DE CAIANA","PAN","Vereador","0","0","0","0","3.520","0.000",
"PB","SAO JOSE DE PIRANHAS","PAN","Vereador","0","0","0","0","10.481","0.000",
"PB","SAO JOSE DE PRINCESA","PAN","Vereador","0","0","0","0","2.262","0.000",
"PB","SAO JOSE DO BONFIM","PAN","Vereador","0","0","0","0","2.430","0.000",
"PB","SAO JOSE DO BREJO CRUZ","PAN","Vereador","0","0","0","0","1.281","0.000",
"PB","SAO JOSE DO SABUGI","PAN","Vereador","0","0","0","0","2.827","0.000",
"PB","SAO JOSE DOS CORDEIROS","PAN","Vereador","0","0","0","0","2.600","0.000",
"PB","SAO JOSE DOS RAMOS","PAN","Vereador","0","0","0","0","3.259","0.000",
"PB","DIAMANTE","PAN","Prefeito","0","0","0","0","3.927","0.000",
"PB","DONA INES","PAN","Prefeito","0","0","0","0","6.098","0.000",
"PB","DUAS ESTRADAS","PAN","Prefeito","0","0","0","0","2.516","0.000",
"PB","EMAS","PAN","Prefeito","0","0","0","0","2.291","0.000",
"PB","ESPERANCA","PAN","Prefeito","0","0","0","0","17.257","0.000",
"PB","FAGUNDES","PAN","Prefeito","0","0","0","0","6.907","0.000",
"PB","FREI MARTINHO","PAN","Prefeito","0","0","0","0","2.099","0.000",
"PB","GADO BRAVO","PAN","Prefeito","0","0","0","0","4.946","0.000",
"PB","GUARABIRA","PAN","Prefeito","0","0","0","0","28.671","0.000",
"PB","GURINHEM","PAN","Prefeito","0","0","0","0","8.361","0.000",
"PB","GURJAO","PAN","Prefeito","0","0","0","0","2.210","0.000",
"PB","IBIARA","PAN","Prefeito","0","0","0","0","4.006","0.000",
"PB","IGARACY","PAN","Prefeito","0","0","0","0","4.100","0.000",
"PB","IMACULADA","PAN","Prefeito","0","0","0","0","5.595","0.000",
"PB","INGA","PAN","Prefeito","0","0","0","0","9.965","0.000",
"PB","ITABAIANA","PAN","Prefeito","0","0","0","0","14.103","0.000",
"PB","ITAPORANGA","PAN","Prefeito","0","0","0","0","11.601","0.000",
"PB","ITAPOROROCA","PAN","Prefeito","0","0","0","0","8.445","0.000",
"PB","ITATUBA","PAN","Prefeito","0","0","0","0","5.980","0.000",
"PB","JACARAU","PAN","Prefeito","0","0","0","0","8.392","0.000",
"PB","JERICO","PAN","Prefeito","0","0","0","0","5.094","0.000",
