Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (GOIAS) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:49:06  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","GO","ANICUNS","PP","11630","DEUSA MARIA ARAUJO SIQUEIRA","145","Suplente","1.144","PP / PTB / PPS",
"Vereador","GO","ANICUNS","PSB","40999","DEUSIMAR ETERNO DOS SANTOS","253","Suplente","1.996","PSB / PSDB",
"Vereador","GO","ANICUNS","PDT","12201","DIVINO ETERNO BATISTA","65","Suplente","0.513","PDT / PMDB / PC do B / PT do B",
"Vereador","GO","ANICUNS","PDT","12345","DIVINO EURIPEDES BORBOSA DOS IMPOSSIVEIS","224","Suplente","1.767","PDT / PMDB / PC do B / PT do B",
"Vereador","GO","ANICUNS","PDT","12208","DIVINO FRANCISCO DUTRA","70","Suplente","0.552","PDT / PMDB / PC do B / PT do B",
"Vereador","GO","ANICUNS","PL","22622","DIVINO LAZARO DA SILVA","330","Suplente","2.603","(sem coligação)",
"Vereador","GO","ANICUNS","PT","13456","EDILON CARLOS DUTRA","63","Não eleito","0.497","(sem coligação)",
"Vereador","GO","ANICUNS","PTB","14140","ELIS LOURENÇO DE SOUZA","66","Suplente","0.521","PP / PTB / PPS",
"Vereador","GO","ANICUNS","PP","11100","FRANCISCO RODRIGUES MENDONÇA","32","Suplente","0.252","PP / PTB / PPS",
"Vereador","GO","ANICUNS","PSB","40555","HUMBERTO ALVES PEREIRA","115","Suplente","0.907","PSB / PSDB",
"Vereador","GO","ANICUNS","PL","22567","HUMBERTO DOS SANTOS PEIXOTO","482","Eleito","3.802","(sem coligação)",
"Vereador","GO","ANICUNS","PT","13789","ILMA JESUS PINHEIRO","17","Não eleito","0.134","(sem coligação)",
"Vereador","GO","ANICUNS","PL","22678","IRON GONÇALVES COSTA","125","Suplente","0.986","(sem coligação)",
"Vereador","GO","ANICUNS","PDT","12100","JOAO GERALDO DA SILVA FILHO","294","Suplente","2.319","PDT / PMDB / PC do B / PT do B",
"Vereador","GO","ANICUNS","PMDB","15555","JOAO JOSE DE ARAUJO","53","Suplente","0.418","PDT / PMDB / PC do B / PT do B",
"Vereador","GO","ANICUNS","PL","22345","JOAO JOSE DE FATIMA","126","Suplente","0.994","(sem coligação)",
"Vereador","GO","ANICUNS","PSDB","45645","JORGE JOSE DE MENEZES","531","Eleito","4.189","PSB / PSDB",
"Vereador","GO","ANICUNS","PP","11222","JOSÉ ADMILSON DE SOUZA","211","Suplente","1.665","PP / PTB / PPS",
"Vereador","GO","ANICUNS","PDT","12222","JOSE ALVES MARTINS","43","Suplente","0.339","PDT / PMDB / PC do B / PT do B",
"Vereador","GO","ANICUNS","PSB","40222","JUAREZ GOMES DA ROCHA","156","Suplente","1.231","PSB / PSDB",
"Vereador","GO","ANICUNS","PTB","14110","KASSIO RODRIGUES DE SOUZA","457","Eleito","3.605","PP / PTB / PPS",
"Vereador","GO","ANICUNS","PL","22161","LÍBIA RAMOS PEREIRA","121","Suplente","0.955","(sem coligação)",
"Vereador","GO","ANICUNS","PL","22673","LINDOMAR MARTINS DAMASCENO","37","Suplente","0.292","(sem coligação)",
"Vereador","GO","ANICUNS","PC do B","65333","MANOEL VICENTE DA SILVA","347","Eleito por Média","2.737","PDT / PMDB / PC do B / PT do B",
"Vereador","GO","ANICUNS","PSB","40333","MARIA BENEDITA ALVES DA SILVA","78","Suplente","0.615","PSB / PSDB",
"Vereador","GO","ANICUNS","PSB","40789","MARIA CELIA DE FARIA","406","Eleito por Média","3.203","PSB / PSDB",
"Vereador","GO","ARAGARCAS","PL","22555","GERSON ALVES DA SILVA","22","Suplente","0.237","PTN / PL / PFL",
"Vereador","GO","ARAGARCAS","PTC","36310","GILBERTO RODRIGUES DA SILVA","61","Suplente","0.656","/ PTC / PSDB",
"Vereador","GO","ARAGARCAS","PL","22111","IZABEL DIVINA SANTOS PEREIRA","100","Suplente","1.075","PTN / PL / PFL",
"Vereador","GO","ARAGARCAS","PDT","12678","JAIME DE ASSIS BATISTA","12","Suplente","0.129","(sem coligação)",
"Vereador","GO","ARAGARCAS","PDT","12333","JAIRO HOHLENVERGER RODRIGUES","42","Suplente","0.452","(sem coligação)",
"Vereador","GO","ARAGARCAS","PMDB","15620","JOÃO CARLOS MARCIEL MATOS","29","Suplente","0.312","/ PT / PMDB / PPS / PT do B",
"Vereador","GO","ARAGARCAS","PMDB","15611","JOSÉ FRANCISCO NETO","126","Suplente","1.355","/ PT / PMDB / PPS / PT do B",
"Vereador","GO","ARAGARCAS","PDT","12345","JOSE ISAC VICTOR DE OLIVEIRA","318","Eleito","3.420","(sem coligação)",
"Vereador","GO","ARAGARCAS","PRTB","28888","JOSUÉ BARBOSA PINTO","25","Suplente","0.269","PTB / PSDC / PRTB / PMN",
"Vereador","GO","ARAGARCAS","PT do B","70123","JURANDIR MOREIRA DOS SANTOS","99","Suplente","1.065","/ PT / PMDB / PPS / PT do B",
"Vereador","GO","ARAGARCAS","PTC","36123","KERLEY ALVES DE OLIVEIRA","89","Suplente","0.957","/ PTC / PSDB",
"Vereador","GO","ARAGARCAS","PSDB","45686","LAUDENIR ALVES DE SOUSA","6","Suplente","0.065","/ PTC / PSDB",
"Vereador","GO","ARAGARCAS","PMN","33333","LOURECY DOS SANTOS SOUZA","41","Suplente","0.441","PTB / PSDC / PRTB / PMN",
"Vereador","GO","ARAGARCAS","PDT","12222","LÚCIA HELENA DOS SANTOS","47","Suplente","0.505","(sem coligação)",
"Vereador","GO","ARAGARCAS","PSDC","27442","LUCIENE FERREIRA  KARAJÁ","38","Suplente","0.409","PTB / PSDC / PRTB / PMN",
"Vereador","GO","ARAGARCAS","PDT","12444","LUIZ WAGNER DA SILVA TEIXEIRA","253","Suplente","2.721","(sem coligação)",
"Vereador","GO","ARAGARCAS","PTC","36536","LUZENY LOPES DE OLIVEIRA SANTOS","95","Suplente","1.022","/ PTC / PSDB",
"Vereador","GO","ARAGARCAS","PT","13193","MANUEL MATIAS VALADÃO","70","Suplente","0.753","/ PT / PMDB / PPS / PT do B",
"Vereador","GO","ARAGARCAS","PSB","40333","MÁRCIO JOSÉ PEREIRA DA SILVA","113","Suplente","1.215","PSL / PSC / PSB / PV",
"Vereador","GO","ARAGARCAS","PDT","12836","MARIA APARECIDA PINTO BARBOSA SANTOS","17","Suplente","0.183","(sem coligação)",
"Vereador","GO","ARAGARCAS","PT","13450","MARIA DIAS DA SILVA","45","Suplente","0.484","/ PT / PMDB / PPS / PT do B",
"Vereador","GO","ARAGARCAS","PSL","17000","MARIA HELENA DOS SANTOS TEIXEIRA","23","Suplente","0.247","PSL / PSC / PSB / PV",
"Vereador","GO","ARAGARCAS","PDT","12234","MARIA PROVIDÊNCIA ALVES SOBRINHO","95","Suplente","1.022","(sem coligação)",
"Vereador","GO","ARAGARCAS","PSDC","27123","MARIA ROSA FRANÇA GOMES BEZERRA","146","Suplente","1.570","PTB / PSDC / PRTB / PMN",
"Vereador","GO","ARAGARCAS","PDT","12223","MIGUEL JOSÉ DE SELES","14","Suplente","0.151","(sem coligação)",
"Vereador","GO","ARAGARCAS","PSDB","45679","NERI MARTINS FIGUEIREDO","33","Suplente","0.355","/ PTC / PSDB",
"Vereador","GO","ARAGARCAS","PMN","33555","NILSON FERREIRA DE OLIVEIRA","22","Suplente","0.237","PTB / PSDC / PRTB / PMN",
"Vereador","GO","ARAGARCAS","PP","11456","NIVALDO RIOS PAIVA","0","Não eleito","0.000","(sem coligação)",
"Vereador","GO","ARAGARCAS","PV","43123","NÚBIO VICENTE DA SILVA","94","Suplente","1.011","PSL / PSC / PSB / PV",
"Vereador","GO","ARAGARCAS","PFL","25610","OSVALDO JOSÉ BARBOSA","38","Suplente","0.409","PTN / PL / PFL",
"Vereador","GO","ARAGARCAS","PMN","33111","PAULO JOSÉ CARDOSO","4","Suplente","0.043","PTB / PSDC / PRTB / PMN",
"Vereador","GO","ARAGARCAS","PV","43869","RAQUEL DE FREITA REZENDE SILVA","25","Suplente","0.269","PSL / PSC / PSB / PV",
"Vereador","GO","ARAGARCAS","PFL","25888","REGINA ALICE MARQUES","168","Suplente","1.807","PTN / PL / PFL",
"Vereador","GO","ARAGARCAS","PTN","19123","ROBERTO GALVÃO DO NASCIMENTO","325","Eleito","3.495","PTN / PL / PFL",
"Vereador","GO","ARAGARCAS","PT","13200","ROBSON DIVINO PERES ABADIA","39","Suplente","0.419","/ PT / PMDB / PPS / PT do B",
"Vereador","GO","ABADIANIA","PSDB","45610","ADRIANA ROCHA VILELA ARANTES","252","Suplente","3.302","(sem coligação)",
"Vereador","GO","ABADIANIA","PTB","14105","AELCIO RODRIGUES ARANTES","142","Suplente","1.861","PTB / PFL",
"Vereador","GO","ABADIANIA","PT","13333","AILSON NATAL ARANTES","238","Não eleito","3.119","PT / PL / PV",
"Vereador","GO","ABADIANIA","PSDB","45613","ANA MARIA MENGATTI","28","Suplente","0.367","(sem coligação)",
"Vereador","GO","ABADIANIA","PPS","23023","ANTONIO JOSE DE SOUSA","59","Suplente","0.773","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PHS","31620","ARNOR FRANCISCO DO NASCIMENTO","135","Suplente","1.769","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PMDB","15608","ASTÉRIO DIVINO ALVES","163","Eleito por Média","2.136","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PSDB","45654","CARLOS GOMES DE ASSUNÇÃO","445","Eleito","5.831","(sem coligação)",
"Vereador","GO","ABADIANIA","PDT","12222","CRISLIANE CELINA DO PRADO PALAZZIN","149","Suplente","1.953","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PFL","25777","DEUSDEDIT DA SILVA VALENÇA","336","Eleito","4.403","PTB / PFL",
"Vereador","GO","ABADIANIA","PMDB","15606","DIOGENES GONTIJO AZEVEDO","307","Eleito","4.023","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PDT","12111","EDIS AMÂNCIO PEREIRA","302","Eleito","3.958","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PSDB","45666","EDSON JOSE DE FREITAS","316","Eleito","4.141","(sem coligação)",
"Vereador","GO","ABADIANIA","PMDB","15605","EURICO DE SOUZA SANTOS","74","Suplente","0.970","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PSDB","45678","FRANCISCO LOBO SOBRINHO","228","Suplente","2.988","(sem coligação)",
"Vereador","GO","ABADIANIA","PSDB","45620","GERSON NESTOR DE SOUZA E SILVA","64","Suplente","0.839","(sem coligação)",
"Vereador","GO","ABADIANIA","PPS","23123","GETÚLIO LEMES DE SOUSA","30","Suplente","0.393","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PT","13639","HAJNALKA GIZELLA SIPOS","5","Não eleito","0.066","PT / PL / PV",
"Vereador","GO","ABADIANIA","PT","13610","IVAN ALVES FERREIRA","15","Não eleito","0.197","PT / PL / PV",
"Vereador","GO","ABADIANIA","PL","22333","JOÃO BATISTA DE AQUINO","51","Não eleito","0.668","PT / PL / PV",
"Vereador","GO","ABADIANIA","PPS","23101","JOÃO BATISTA GOMES","115","Suplente","1.507","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PHS","31631","JOÃO FERREIRA LEAL","45","Suplente","0.590","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PSDB","45645","JOÃO SILVA MELO","290","Eleito por Média","3.800","(sem coligação)",
"Vereador","GO","ABADIANIA","PTB","14114","JOSÉ ANTÔNIO DE OMENA","109","Suplente","1.428","PTB / PFL",
"Vereador","GO","ABADIANIA","PDT","12333","JOSÉ BOSCO DO NASCIMENTO ARANTES","154","Suplente","2.018","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PSDB","45600","JOSE CARLOS RABELO","111","Suplente","1.455","(sem coligação)",
"Vereador","GO","ABADIANIA","PTB","14120","JOSÉ DIVINO DE ARAÚJO","82","Suplente","1.075","PTB / PFL",
"Vereador","GO","ABADIANIA","PTB","14123","JOSÉ DIVINO LOPES","139","Suplente","1.822","PTB / PFL",
"Vereador","GO","ABADIANIA","PL","22123","JURANDI CAMPOS ARAÚJO","145","Não eleito","1.900","PT / PL / PV",
"Vereador","GO","ABADIANIA","PTB","14133","LAURA PENHA SILVA","39","Suplente","0.511","PTB / PFL",
"Vereador","GO","ABADIANIA","PSDB","45611","LUISMAR DE BASTOS","151","Suplente","1.979","(sem coligação)",
"Vereador","GO","ABADIANIA","PMDB","15611","LUZIMAR GONZAGA DE SOUZA","150","Suplente","1.966","PDT / PMDB / PPS / PHS",
"Vereador","GO","ABADIANIA","PV","43000","MANOEL FERNANDO SOUZA","0","Não eleito","0.000","PT / PL / PV",
"Vereador","GO","ABADIANIA","PL","22777","MANOEL LIMA BARROS","21","Não eleito","0.275","PT / PL / PV",
"Vereador","GO","ABADIANIA","PMDB","15609","MARIA MENDES FERREIRA","80","Suplente","1.048","PDT / PMDB / PPS / PHS",
"Vereador","GO","ALTO HORIZONTE","PMDB","15605","NILDO QUINTINO MOREIRA","77","Eleito por Média","4.053","PMDB / PL / PFL",
"Vereador","GO","ALTO HORIZONTE","PP","11111","OSMAIR GUILHERME LOPES","50","Suplente","2.632","PSDB / PP / PT / PTB",
"Vereador","GO","ALTO HORIZONTE","PP","11123","OTAVIO ROSA DA SILVA","72","Suplente","3.789","PSDB / PP / PT / PTB",
"Vereador","GO","ALTO HORIZONTE","PMDB","15610","RAFAEL FERREIRA PEDROSA","28","Suplente","1.474","PMDB / PL / PFL",
"Vereador","GO","ALTO HORIZONTE","PMDB","15611","ROSANA RODRIGUES FRÓIS","83","Eleito","4.368","PMDB / PL / PFL",
"Vereador","GO","ALTO HORIZONTE","PP","11222","ROSEMEIRE PACHECO VICENTE LIMA","74","Eleito","3.895","PSDB / PP / PT / PTB",
"Vereador","GO","ALTO HORIZONTE","PMDB","15601","SANDRO LOPES DO LAGO","40","Suplente","2.105","PMDB / PL / PFL",
"Vereador","GO","ALTO HORIZONTE","PT","13222","SILVANIA APARECIDA DA SILVA","25","Suplente","1.316","PSDB / PP / PT / PTB",
"Vereador","GO","ALTO HORIZONTE","PMDB","15607","VALDERLINO PIRES DE SOUZA","48","Suplente","2.526","PMDB / PL / PFL",
"Vereador","GO","ALTO HORIZONTE","PL","22222","VILMAR GOMES DOS SANTOS","68","Suplente","3.579","PMDB / PL / PFL",
"Vereador","GO","ALTO HORIZONTE","PSDB","45555","WALTEMY BRAZ GOMIDES","63","Suplente","3.316","PSDB / PP / PT / PTB",
"Vereador","GO","ALTO HORIZONTE","PSDB","45444","WALTIER FERNANDES DE ALMEIDA","8","Suplente","0.421","PSDB / PP / PT / PTB",
"Vereador","GO","ALTO PARAISO","PFL","25678","ABADIA DE FÁTIMA GARCES DE MENDONÇA","78","Suplente","2.342","PP / PMDB / PFL / PSB / PV",
