Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (CEARA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:47:58  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","CE","AQUIRAZ","PL","22333","MARIA DAS GRAÇAS PINHEIRO DE HOLANDA","34","Suplente","0.092","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PP","11112","MARIA DE FATIMA GONZAGA BARRETO","11","Suplente","0.030","PP / PPS / PSDC / PRTB",
"Vereador","CE","AQUIRAZ","PV","43456","MARIA DO ROSÁRIO GUIMARÃES","171","Suplente","0.461","PSC / PAN / PV",
"Vereador","CE","AQUIRAZ","PT","13713","MARIA DO SOCORRO BARROS SBRISSA","26","Não eleito","0.070","PT / PMDB",
"Vereador","CE","AQUIRAZ","PSB","40456","MARIA EDILENE DA CUNHA","47","Suplente","0.127","PSB / PRP / PSDB",
"Vereador","CE","AQUIRAZ","PV","43678","MARIA LÚCIA SILVA LIMA","995","Eleito por Média","2.685","PSC / PAN / PV",
"Vereador","CE","AQUIRAZ","PTB","14123","MARIA LUIZA CAMELO DE FREITAS","372","Suplente","1.004","PTB / PFL / PHS",
"Vereador","CE","AQUIRAZ","PT","13013","MARIA OZANEIDE DE PAULO","27","Não eleito","0.073","PT / PMDB",
"Vereador","CE","AQUIRAZ","PL","22345","MARIA ROSEMARY CARDOSO HERCULANO","192","Suplente","0.518","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PPS","23222","MARIA VANUZIA ASSUNÇÃO MOREIRA","885","Eleito","2.388","PP / PPS / PSDC / PRTB",
"Vereador","CE","AQUIRAZ","PSDB","45555","MARIA ZILDENIR ALVES ASSUNÇÃO","4","Suplente","0.011","PSB / PRP / PSDB",
"Vereador","CE","AQUIRAZ","PP","11666","MOISES PEREIRA DE ASSUNÇÃO","134","Suplente","0.362","PP / PPS / PSDC / PRTB",
"Vereador","CE","AQUIRAZ","PTB","14000","NEIDE QUEIROZ DE FREITAS","1,386","Eleito","3.740","PTB / PFL / PHS",
"Vereador","CE","AQUIRAZ","PMN","33456","NERIAS CORREIA DE FREITAS","0","Não eleito","0.000","PSL / PTN / PMN",
"Vereador","CE","AQUIRAZ","PSDB","45103","NEUZILENE DOS SANTOS FERREIRA","53","Suplente","0.143","PSB / PRP / PSDB",
"Vereador","CE","BARBALHA","PT","13130","TERESINHA VIEIRA","350","Suplente","1.272","PDT / PPS / PV / PT",
"Vereador","CE","BARBALHA","PDT","12345","VALDEMAR ANTERO DA SILVA","355","Suplente","1.290","PDT / PPS / PV / PT",
"Vereador","CE","BARBALHA","PPS","23457","VICENTE AVELAR CAVALCANTE SAMPAIO","151","Suplente","0.549","PDT / PPS / PV / PT",
"Vereador","CE","BARBALHA","PSB","40000","WASHINGTON FURTADO DA CRUZ","277","Suplente","1.007","PMDB / PFL / PSB",
"Vereador","CE","BARBALHA","PSDB","45151","WILSON ALVES FERREIRA","274","Suplente","0.996","PTB / PSDB",
"Vereador","CE","BARREIRA","PP","11555","ADRIANO PEREIRA DA SILVA","135","Suplente","1.124","PT / PFL / PP / PV / PRP",
"Vereador","CE","BARREIRA","PFL","25800","AMAURY MARTINS JACO","451","Eleito por Média","3.755","PT / PFL / PP / PV / PRP",
"Vereador","CE","BARREIRA","PTB","14114","ANTONIA PEREIRA DO NASCIMENTO","49","Suplente","0.408","PPS / PDT / PTB",
"Vereador","CE","BARREIRA","PPS","23456","ANTONIO ALAILSON OLIVEIRA SALDANHA","682","Eleito","5.679","PPS / PDT / PTB",
"Vereador","CE","BARREIRA","PDT","12333","ANTONIO ALVES DE QUEIROZ","542","Eleito por Média","4.513","PPS / PDT / PTB",
"Vereador","CE","BARREIRA","PTC","36666","ANTONIO ESTEVAO FARIAS","35","Não eleito","0.291","PHS / PTC",
"Vereador","CE","BARREIRA","PPS","23000","ANTONIO IVANILDO DOS SANTOS","247","Suplente","2.057","PPS / PDT / PTB",
"Vereador","CE","BARREIRA","PHS","31245","ANTONIO PAULO DO NASCIMENTO","83","Não eleito","0.691","PHS / PTC",
"Vereador","CE","BARREIRA","PMDB","15615","ANTONIO PEIXOTO SALDANHA","738","Eleito","6.145","PMDB / PL / PSDB",
"Vereador","CE","BARREIRA","PV","43333","BESANILDO GOMES DA SILVA","443","Suplente","3.689","PT / PFL / PP / PV / PRP",
"Vereador","CE","BARREIRA","PHS","31234","CARLOS ANDRE  FEITOSA SANTOS","33","Não eleito","0.275","PHS / PTC",
"Vereador","CE","BARREIRA","PHS","31222","DAMIAO VIEIRA DA SILVA","34","Não eleito","0.283","PHS / PTC",
"Vereador","CE","BARREIRA","PMDB","15666","EDGAR SARAIVA DE FARIAS FILHO","173","Suplente","1.440","PMDB / PL / PSDB",
"Vereador","CE","BARREIRA","PDT","12330","ELCIAS CAMURÇA TORRES","88","Suplente","0.733","PPS / PDT / PTB",
"Vereador","CE","BARREIRA","PP","11234","ELENEIDE TORRES BRILHANTE DE OLIVEIRA","91","Suplente","0.758","PT / PFL / PP / PV / PRP",
"Vereador","CE","BARREIRA","PHS","31000","ELIZEU NOGUEIRA DE MORAES","28","Não eleito","0.233","PHS / PTC",
"Vereador","CE","BARREIRA","PL","22222","FATIMA MARIA GIFFONY DE AGUIAR","110","Suplente","0.916","PMDB / PL / PSDB",
"Vereador","CE","BARREIRA","PTC","36222","FRANCISCA MONTEIRO DA SILVA","16","Não eleito","0.133","PHS / PTC",
"Vereador","CE","BARREIRA","PFL","25678","FRANCISCA OFISA NEGREIROS DE ALMEIDA SOUSA","59","Suplente","0.491","PT / PFL / PP / PV / PRP",
"Vereador","CE","BARREIRA","PTC","36789","FRANCISCO DA SILVA SOUSA","148","Não eleito","1.232","PHS / PTC",
"Vereador","CE","BARREIRA","PHS","31111","FRANCISCO DIAS CORREA","11","Não eleito","0.092","PHS / PTC",
"Vereador","CE","BARREIRA","PDT","12345","FRANCISCO ENIO OLIVEIRA ALENCAR","585","Eleito","4.871","PPS / PDT / PTB",
"Vereador","CE","BARREIRA","PTB","14567","FRANCISCO GOMES DA SILVA","114","Suplente","0.949","PPS / PDT / PTB",
"Vereador","CE","BARREIRA","PTB","14000","FRANCISCO MOESIO MONTEIRO","21","Suplente","0.175","PPS / PDT / PTB",
"Vereador","CE","BARREIRA","PTB","14123","FRANCISCO OLIVEIRA DA SILVA","46","Suplente","0.383","PPS / PDT / PTB",
"Vereador","CE","BARREIRA","PHS","31248","FRANCISCO OLIVEIRA DE ALMEIDA","25","Não eleito","0.208","PHS / PTC",
"Vereador","CE","BARREIRA","PTB","14777","FRANCISCO VALDECI ROBERTO BRITO","24","Suplente","0.200","PPS / PDT / PTB",
"Vereador","CE","BARREIRA","PT","13456","GERTOLDO MARTINS NUNES","64","Suplente","0.533","PT / PFL / PP / PV / PRP",
"Vereador","CE","ABAIARA","PTB","14709","MARIA ALICE BERNARDINA GRANGEIRO","85","Suplente","1.735","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PTB","14555","MARIA HELENA MORAIS DE LUCENA","74","Suplente","1.511","PT / PTB / PMDB / PL",
"Vereador","CE","ABAIARA","PRP","44123","NICOLAU TEIXEIRA NETO","41","Suplente","0.837","PPS / PRP / PSDB",
"Vereador","CE","ACARAPE","PL","22567","ALEUDA MARIA BATISTA FREDERICO DA SILVA","0","Suplente","0.000","PDT / PL / PRONA",
"Vereador","CE","ACARAPE","PPS","23000","ALEXANDRE COUTINHO JUNIOR","164","Suplente","2.076","PPS / PV",
"Vereador","CE","ACARAPE","PPS","23789","ALEXANDRE PINHEIRO DE ANDRADE","106","Suplente","1.342","PPS / PV",
"Vereador","CE","ACARAPE","PRP","44333","ANTONIA CREUSA MOREIRA DA SILVA","42","Suplente","0.532","PSC / PRP / PSDB",
"Vereador","CE","ACARAPE","PL","22777","ANTONIA EVELINE PINHEIRO ALMEIDA","12","Suplente","0.152","PDT / PL / PRONA",
"Vereador","CE","ACARAPE","PPS","23153","ANTONIA LUCIA ALVES DE ASSIS RUFINO","18","Suplente","0.228","PPS / PV",
"Vereador","CE","ACARAPE","PL","22580","ANTONIO ALVES DOS SANTOS","10","Suplente","0.127","PDT / PL / PRONA",
"Vereador","CE","ACARAPE","PV","43123","ANTONIO AMANCIO DA SILVA","197","Suplente","2.494","PPS / PV",
"Vereador","CE","ACARAPE","PP","11118","ANTONIO CANDIDO DA SILVA FILHO","25","Não eleito","0.316","(sem coligação)",
"Vereador","CE","ACARAPE","PL","22111","ANTONIO CARLOS MOTA","168","Suplente","2.127","PDT / PL / PRONA",
"Vereador","CE","ACARAPE","PT","13555","ANTONIO LAUDENI GOMES DO NASCIMENTO","54","Não eleito","0.684","PMDB / PT / PMN",
"Vereador","CE","ACARAPE","PP","11115","ANTONIO RIBEIRO ALVES","40","Não eleito","0.506","(sem coligação)",
"Vereador","CE","ACARAPE","PP","11123","CLAUDENIA MARQUES DE QUEIROS","3","Não eleito","0.038","(sem coligação)",
"Vereador","CE","ACARAPE","PPS","23456","CLAUDIO NASCIMENTO DA COSTA","277","Eleito","3.506","PPS / PV",
"Vereador","CE","ACARAPE","PL","22333","COSMO ALMEIDA DE SOUZA","129","Suplente","1.633","PDT / PL / PRONA",
"Vereador","CE","ACARAPE","PP","11119","EDISIO OLIVIER DE ALBUQUERQUE","115","Não eleito","1.456","(sem coligação)",
"Vereador","CE","ACARAPE","PRP","44000","ELIZABETE DE LIMA","11","Suplente","0.139","PSC / PRP / PSDB",
"Vereador","CE","ACARAPE","PL","22444","FABEL FRANKLIN DE SOUZA MAIA","57","Suplente","0.722","PDT / PL / PRONA",
"Vereador","CE","ACARAPE","PDT","12345","FERNANDO ANTONIO FACUNDO BEZERRA","148","Suplente","1.873","PDT / PL / PRONA",
"Vereador","CE","ACARAPE","PDT","12456","FERNANDO ANTONIO LEAL BARROSO","229","Eleito por Média","2.899","PDT / PL / PRONA",
"Vereador","CE","ACARAPE","PP","11222","FRANCISCA  BATISTA FEITOSA","32","Não eleito","0.405","(sem coligação)",
"Vereador","CE","ACARAPE","PRP","44222","FRANCISCO DE LIMA MENDES","70","Suplente","0.886","PSC / PRP / PSDB",
"Vereador","CE","ACARAPE","PL","22456","FRANCISCO EDILBERTO BESERRA BARROSO","392","Eleito","4.962","PDT / PL / PRONA",
"Vereador","CE","ACARAPE","PMN","33456","FRANCISCO HELIO DE SOUSA OLIVEIRA FILHO","10","Não eleito","0.127","PMDB / PT / PMN",
"Vereador","CE","ACARAPE","PV","43111","FRANCISCO JOSE COSTA SOARES","201","Eleito por Média","2.544","PPS / PV",
"Vereador","CE","ACARAPE","PV","43433","FRANCISCO JOSE FERREIRA","25","Suplente","0.316","PPS / PV",
"Vereador","CE","ACARAPE","PTN","19222","FRANCISCO JOSE MEDEIROS BONFIM","0","Suplente","0.000","PSL / PTN / PFL / PHS",
"Vereador","CE","ACARAPE","PRP","44111","FRANCISCO LUCENA DE SOUSA","90","Suplente","1.139","PSC / PRP / PSDB",
"Vereador","CE","ACARAPE","PTN","19999","FRANCISCO LUCIVANDO GOMES PEREIRA","37","Suplente","0.468","PSL / PTN / PFL / PHS",
"Vereador","CE","ACARAPE","PT do B","70000","FRANCISCO MACIEL FRANCELINO","7","Não eleito","0.089","PSDC / PRTB / PT do B",
"Vereador","CE","AQUIRAZ","PSDB","45678","NEY GIBSON FERREIRA PIRES","464","Suplente","1.252","PSB / PRP / PSDB",
"Vereador","CE","AQUIRAZ","PT","13234","NILTON DE FREITAS FAÇANHA","53","Não eleito","0.143","PT / PMDB",
"Vereador","CE","AQUIRAZ","PL","22369","NILTON MARTINS DE CASTRO","786","Suplente","2.121","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PTN","19123","OSMILDO PORFIRIO DA SILVA","1","Não eleito","0.003","PSL / PTN / PMN",
"Vereador","CE","AQUIRAZ","PV","43210","PAULO CARLOS DO NASCIMENTO BARBOSA","335","Suplente","0.904","PSC / PAN / PV",
"Vereador","CE","AQUIRAZ","PSB","40361","PAULO SERGIO BARBOSA DA CUNHA","176","Suplente","0.475","PSB / PRP / PSDB",
"Vereador","CE","AQUIRAZ","PRONA","56789","PEDRO ALVES DE LIMA","121","Suplente","0.327","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PP","11150","PEDRO DE FREITAS FAÇANHA","105","Suplente","0.283","PP / PPS / PSDC / PRTB",
"Vereador","CE","AQUIRAZ","PV","43444","RAIMUNDO GILVAN DE MOURA","566","Suplente","1.527","PSC / PAN / PV",
"Vereador","CE","AQUIRAZ","PPS","23614","RAIMUNDO NONATO DA CUNHA","52","Suplente","0.140","PP / PPS / PSDC / PRTB",
"Vereador","CE","AQUIRAZ","PDT","12345","ROMÊNIA PRÍCIA OLIVEIRA MONTE COELHO","488","Suplente","1.317","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PL","22555","RONALDO ADRIANO MENDES DA COSTA","4","Suplente","0.011","PDT / PC do B / PL / PRONA",
"Vereador","CE","AQUIRAZ","PT","13456","RONALDO LIMA DA SILVA","210","Não eleito","0.567","PT / PMDB",
"Vereador","CE","AQUIRAZ","PT","13613","ROSANE DE LUCCA MAERSCHNER","239","Não eleito","0.645","PT / PMDB",
"Vereador","CE","AQUIRAZ","PHS","31031","RUY CARVALHO FONTENELE","21","Suplente","0.057","PTB / PFL / PHS",
"Vereador","CE","AQUIRAZ","PV","43434","TEREZINHA ALMEIDA QUEIROZ","296","Suplente","0.799","PSC / PAN / PV",
"Vereador","CE","AQUIRAZ","PTN","19700","VAGNO AUGUSTO DE OLIVEIRA","0","Não eleito","0.000","PSL / PTN / PMN",
"Vereador","CE","AQUIRAZ","PSDB","45610","VALDENICE DE CASTRO MOREIRA","0","Suplente","0.000","PSB / PRP / PSDB",
"Vereador","CE","AQUIRAZ","PMN","33123","ZACARIAS REBOUÇAS DE FRANÇA","5","Não eleito","0.013","PSL / PTN / PMN",
"Vereador","CE","ARACATI","PFL","25610","ABELARDO POMPEU FEITOSA COSTA LIMA","953","Eleito","2.605","PP / PFL / PTC",
"Vereador","CE","ARACATI","PSC","20222","ADALBERTO PORTO FILHO","0","Suplente","0.000","PT / PMDB / PSC / PHS / PSB / PV / PSDB",
