Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (ALAGOAS) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
25/04/2009 - 20:35:53  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","AL","ARAPIRACA","PTN","19800","TEREZINHA MAGALHAES CEZAR","310","Suplente","0.370","PDT / PT / PTN / PSDC",
"Vereador","AL","ARAPIRACA","PSB","40333","UILSON GOMES MOURA","258","Suplente","0.308","PTB / PSB",
"Vereador","AL","ARAPIRACA","PTC","36456","VALDEILDO BARBOSA DE OLIVEIRA","89","Não eleito","0.106","PRTB / PTC",
"Vereador","AL","ARAPIRACA","PSDB","45678","VALQUIRIA ALVES BRANDÃO CÉSAR","2,762","Eleito","3.299","PMDB / PSC / PMN / PSDB",
"Vereador","AL","ARAPIRACA","PT do B","70999","VERA LUCIA VERISSIMO","1,199","Suplente","1.432","PAN / PT do B",
"Vereador","AL","ATALAIA","PHS","31345","ADILSON ALMEIDA DA SILVA","256","Suplente","1.234","PPS / PHS / PV",
"Vereador","AL","ATALAIA","PRONA","56666","ALMIR RODRIGUES LISBOA","54","Suplente","0.260","PSC / PSDC / PSB / PRP / PRONA",
"Vereador","AL","ATALAIA","PSL","17777","ÁLVARO CÉSAR DE ARAÚJO SANTOS","465","Suplente","2.242","PTB / PMDB / PSL / PFL / PMN / PT do B",
"Vereador","AL","ATALAIA","PT","13000","ANA LUCIA DA SILVA","16","Não eleito","0.077","(sem coligação)",
"Vereador","AL","ATALAIA","PTB","14777","ANDRÉA MARIA DO COUTO SANTOS","696","Eleito","3.356","PTB / PMDB / PSL / PFL / PMN / PT do B",
"Vereador","AL","ATALAIA","PHS","31555","CARLOS WELINGTON CASADO CALHEIROS","2","Suplente","0.010","PPS / PHS / PV",
"Vereador","AL","ATALAIA","PHS","31333","CICERO PEREIRA BITTENCOURT","114","Suplente","0.550","PPS / PHS / PV",
"Vereador","AL","ATALAIA","PFL","25555","CICERO PEREIRA FILHO","440","Suplente","2.122","PTB / PMDB / PSL / PFL / PMN / PT do B",
"Vereador","AL","ATALAIA","PRP","44000","CLAUDIONOR DE SOUZA SILVA","103","Suplente","0.497","PSC / PSDC / PSB / PRP / PRONA",
"Vereador","AL","ATALAIA","PSB","40123","CRISTIANE DA SILVA LOPES","22","Suplente","0.106","PSC / PSDC / PSB / PRP / PRONA",
"Vereador","AL","ATALAIA","PHS","31234","EDMILSON MARCELINO DOS SANTOS","94","Suplente","0.453","PPS / PHS / PV",
"Vereador","AL","ATALAIA","PSC","20000","EDNA ALVES BRASIL","494","Suplente","2.382","PSC / PSDC / PSB / PRP / PRONA",
"Vereador","AL","ATALAIA","PSDB","45222","FLAVIO HUMBERTO CEDRIM SARMENTO","0","Suplente","0.000","PP / PDT / PL / PSDB",
"Vereador","AL","ATALAIA","PRP","44123","FRANCISCO XAVIER DE OLIVEIRA","489","Suplente","2.358","PSC / PSDC / PSB / PRP / PRONA",
"Vereador","AL","ATALAIA","PRP","44144","GILDO MIRANDA DA COSTA","63","Suplente","0.304","PSC / PSDC / PSB / PRP / PRONA",
"Vereador","AL","ANADIA","PT","13000","GENILDA SANTOS DE MESSIAS","347","Suplente","3.843","PP / PT / PPS / PRTB / PSB",
