Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (SANTA CATARINA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 14:03:29  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","SC","BALNEARIO BARRA DO SUL","PPS","23110","GERVASIO ALBANAS","0","Registro negado antes da eleição","0.000","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PP","11660","GILMAR DE CARVALHO","168","Suplente","3.272","PP / PV",
"Vereador","SC","BALNEARIO BARRA DO SUL","PSDB","45222","HELIO VICENTE VOLTOLINI","34","Suplente","0.662","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15215","IRACILDES KAMCHEN PEREIRA","44","Suplente","0.857","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PT","13352","IUNES GOLDONI","43","Não eleito","0.838","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PPS","23230","JADISON SONEGO","131","Eleito por Média","2.552","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PFL","25625","JOÃO EMÍLIO BELARMINO XAVIER","78","Suplente","1.519","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PP","11500","JOÃO TITOLIVIO ROSA","367","Eleito","7.148","PP / PV",
"Vereador","SC","BALNEARIO BARRA DO SUL","PP","11520","JOSÉ ANACLETO","23","Suplente","0.448","PP / PV",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15123","JOSE NILSON RODRIGUES","83","Suplente","1.617","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PFL","25621","JOSÉ SCHROEDER DOS SANTOS","11","Suplente","0.214","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15640","LAÉRCIO FERNANDES","83","Suplente","1.617","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15636","LILI TEREZINHA DA SILVA PEIXER","62","Suplente","1.208","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15620","LOURI DA CUNHA","187","Eleito por Média","3.642","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PPS","23500","LOURIVAL LOFFLER","44","Suplente","0.857","PPS / PSDB",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15622","LUIZ ANTONIO PRATES TEDESCO","106","Suplente","2.065","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PFL","25255","LUIZ CARLOS MULLER","63","Suplente","1.227","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PT","13333","MARIA TEREZA RODRIGUES ROTERS","41","Não eleito","0.799","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15610","MAURI CARDOSO","220","Eleito","4.285","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PT","13613","MILTON RANGEL CONSTANTI","65","Não eleito","1.266","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15777","MIRIAM DE FREITAS DE CAMPOS","22","Suplente","0.429","(sem coligação)",
"Vereador","SC","BALNEARIO BARRA DO SUL","PP","11601","MOACIR DE SOUZA","234","Eleito","4.558","PP / PV",
"Vereador","SC","BALNEARIO BARRA DO SUL","PMDB","15615","NAZARIO MENDES JUNIOR","172","Suplente","3.350","(sem coligação)",
"Vereador","SC","BLUMENAU","PMDB","15100","ENELICE PEDRINI MENDES","1,019","Suplente","0.617","PMDB / PSDC",
"Vereador","SC","BLUMENAU","PMDB","15200","ERICSSON  HENRIQUE LUEF","899","Suplente","0.545","PMDB / PSDC",
"Vereador","SC","BLUMENAU","PTB","14000","EVARISTO POLTRONIERI","653","Não eleito","0.396","PTB / PSB / PRONA / PC do B",
"Vereador","SC","BLUMENAU","PFL","25010","FÁBIO ALLAN FIEDLER","1,307","Suplente","0.792","PFL / PHS",
"Vereador","SC","BLUMENAU","PMDB","15651","FERNANDO DE MELLO VIANNA","374","Suplente","0.227","PMDB / PSDC",
"Vereador","SC","BLUMENAU","PDT","12655","FRANCISCO DE ASSIS MARQUES FIRMO","227","Suplente","0.138","PDT / PMN",
"Vereador","SC","BLUMENAU","PRONA","56111","GELÁSIO PEDRO DE SOUZA","31","Não eleito","0.019","PTB / PSB / PRONA / PC do B",
"Vereador","SC","BLUMENAU","PT","13213","GILMAR RAMOS","445","Suplente","0.270","PT / PAN",
"Vereador","SC","BLUMENAU","PMDB","15688","HANKO PRZYGODA","176","Suplente","0.107","PMDB / PSDC",
"Vereador","SC","BLUMENAU","PSDB","45933","HELENICE GLORINHA MACHADO LUCHETTA","1,901","Suplente","1.152","(sem coligação)",
"Vereador","SC","BLUMENAU","PPS","23043","HELIO DE LIZ MELLO","271","Não eleito","0.164","PSC / PPS",
"Vereador","SC","BLUMENAU","PL","22444","HELIO MAFFEZZOLI","273","Não eleito","0.165","(sem coligação)",
"Vereador","SC","BLUMENAU","PSDB","45615","HILDA ZUCKI","97","Suplente","0.059","(sem coligação)",
"Vereador","SC","BLUMENAU","PDT","12600","HUMBERTO JORGE SACKL","1,951","Suplente","1.182","PDT / PMN",
"Vereador","SC","BLUMENAU","PPS","23123","INÁCIO SILVÉRIO ZINGEL","446","Não eleito","0.270","PSC / PPS",
"Vereador","SC","BLUMENAU","PSC","20022","INGRID ROESEL","23","Não eleito","0.014","PSC / PPS",
"Vereador","SC","BLUMENAU","PL","22123","IREMAR JOSÉ BLUM","604","Não eleito","0.366","(sem coligação)",
"Vereador","SC","BLUMENAU","PL","22777","IRMA VOLPATO","536","Não eleito","0.325","(sem coligação)",
"Vereador","SC","BLUMENAU","PT","13999","ISALTINO PEDRON","2,269","Eleito por Média","1.375","PT / PAN",
"Vereador","SC","BLUMENAU","PT","13013","ISIDORO FIAMONCINI","381","Suplente","0.231","PT / PAN",
"Vereador","SC","BLUMENAU","PL","22193","ISRAEL MACHADO","620","Não eleito","0.376","(sem coligação)",
"Vereador","SC","BLUMENAU","PV","43041","IVANIR NAATZ PORTELLA","183","Não eleito","0.111","(sem coligação)",
"Vereador","SC","BLUMENAU","PMDB","15666","IVO HADLICH","1,845","Suplente","1.118","PMDB / PSDC",
"Vereador","SC","BLUMENAU","PMDB","15677","IVONE TEREZINHA DE CASTRO","1,618","Suplente","0.980","PMDB / PSDC",
"Vereador","SC","BLUMENAU","PPS","23456","IVONETE DA ROSA","168","Não eleito","0.102","PSC / PPS",
"Vereador","SC","BLUMENAU","PT","13600","JACIRA COELHO MADRUGA","438","Suplente","0.265","PT / PAN",
"Vereador","SC","BLUMENAU","PSDB","45654","JADIR JOEL MAES","177","Suplente","0.107","(sem coligação)",
"Vereador","SC","BLUMENAU","PDT","12012","JAIR COMPIANI","964","Suplente","0.584","PDT / PMN",
"Vereador","SC","BLUMENAU","PRONA","56999","JAIR NORBERTO SILVA","72","Não eleito","0.044","PTB / PSB / PRONA / PC do B",
"Vereador","SC","BLUMENAU","PSTU","16016","JAIRO VIEIRA DOS SANTOS","726","Não eleito","0.440","(sem coligação)",
"Vereador","SC","BLUMENAU","PFL","25605","JEAN JACKSON KUHLMANN","7,984","Eleito","4.837","PFL / PHS",
"Vereador","SC","BLUMENAU","PSDB","45678","JENS JUERGEN MANTAU","2,201","Eleito por Média","1.334","(sem coligação)",
"Vereador","SC","BLUMENAU","PT","13313","JOACIR VALLE","436","Suplente","0.264","PT / PAN",
"Vereador","SC","BLUMENAU","PDT","12100","JOÃO BATISTA BARNI","387","Suplente","0.234","PDT / PMN",
