Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (PERNAMBUCO) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:58:17  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","PE","AGUA PRETA","PDT","12222","CICERO SILVA CALADO","12","Suplente","0.075","PDT / PTC",
"Vereador","PE","AGUA PRETA","PDT","12789","DANIEL CALADO LINS","0","Suplente","0.000","PDT / PTC",
"Vereador","PE","AGUA PRETA","PV","43000","DARLAN ALVES DA SILVA","94","Suplente","0.584","PTB / PV",
"Vereador","PE","AGUA PRETA","PSC","20000","DAVSON ALVES DA SILVA","6","Suplente","0.037","PP / PSC / PRP",
"Vereador","PE","AGUA PRETA","PSDB","45123","DION ROMERO ALCANTARA VANDERLEI","21","Suplente","0.131","PMDB / PSL / PFL / PSDB",
"Vereador","PE","AGUA PRETA","PRP","44555","EDMILSON ALEXANDRE FRAGOSO DA SILVA","232","Suplente","1.442","PP / PSC / PRP",
"Vereador","PE","AGUA PRETA","PDT","12300","EDVALDO DOMINGOS DA SILVA","112","Suplente","0.696","PDT / PTC",
"Vereador","PE","AGUA PRETA","PHS","31115","EDVALDO SEBASTIÃO DA SILVA","28","Suplente","0.174","PL / PPS / PAN / PHS",
"Vereador","PE","AGUA PRETA","PDT","12345","ELIAS ALBERTO LINS DE GOIS","61","Suplente","0.379","PDT / PTC",
"Vereador","PE","AGUA PRETA","PT","13690","ELIAS GONÇALVES DE SOUSA","316","Suplente","1.965","PT / PC do B",
"Vereador","PE","AGUA PRETA","PSB","40789","EVANDRO ARRAES DE ALENCAR NORÕES","467","Eleito por Média","2.904","(sem coligação)",
"Vereador","PE","AGUA PRETA","PSB","40140","FLAVIO RICARDO DE CARVALHO","331","Suplente","2.058","(sem coligação)",
"Vereador","PE","AGUA PRETA","PT","13000","GAUDENCIO TADEU DE ANDRADE COSTA","354","Eleito por Média","2.201","PT / PC do B",
