Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (RORAIMA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 14:02:19  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","RR","BOA VISTA","PTN","19222","LUIZ RODRIGUES DOS SANTOS","432","Suplente","0.383","PP / PTN / PSDC",
"Vereador","RR","BOA VISTA","PSDC","27555","MANOEL DE JESUS DA SILVA","453","Suplente","0.401","PP / PTN / PSDC",
"Vereador","RR","BOA VISTA","PL","22333","MANOEL NEVES DE MACEDO","1,121","Suplente","0.993","PL / PSB",
"Vereador","RR","BOA VISTA","PPS","23222","MANOEL RIBAS GALVÃO","455","Suplente","0.403","PPS / PC do B",
"Vereador","RR","BOA VISTA","PT","13813","MANOEL RIBEIRO LOBO JUNIOR","280","Suplente","0.248","PT / PV",
"Vereador","RR","BOA VISTA","PTN","19111","MANOEL SOUZA MENDES","425","Suplente","0.376","PP / PTN / PSDC",
"Vereador","RR","BOA VISTA","PSB","40888","MARCELO DE MAGALHAES NUNES","428","Suplente","0.379","PL / PSB",
"Vereador","RR","BOA VISTA","PV","43222","MARCELO VIEIRA DE CARVALHO","1,822","Eleito","1.614","PT / PV",
"Vereador","RR","BOA VISTA","PPS","23233","MARCOS ANTUNES DE SOUZA","138","Suplente","0.122","PPS / PC do B",
"Vereador","RR","BOA VISTA","PPS","23888","MARIA AUXILIADORA DA SILVA SARAIVA","65","Suplente","0.058","PPS / PC do B",
"Vereador","RR","BOA VISTA","PFL","25789","MARIA BERTOLINA SERRA COSTA","19","Suplente","0.017","PFL / PAN",
"Vereador","RR","BOA VISTA","PMDB","15655","MARIA CONSOLATA MAGALHÃES E SILVA","94","Suplente","0.083","PTB / PMDB",
"Vereador","RR","BOA VISTA","PHS","31031","MARIA DAMIANA DE SOUZA","213","Suplente","0.189","PSL / PHS / PRP / PRONA / PT do B",
