Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (PARAIBA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:56:52  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","PB","AROEIRAS","PSDB","45222","JOSÉ CUSTÓDIO IRMÃO","41","Suplente","0.370","PSDB / PPS / PT / PTB / PSL / PSC / PC do B",
"Vereador","PB","AROEIRAS","PMDB","15555","JOSE DO CARMO ANDRADE","22","Não eleito","0.198","(sem coligação)",
"Vereador","PB","AROEIRAS","PMDB","15111","JOSE FERNANDES VIEIRA DE LIMA","76","Não eleito","0.686","(sem coligação)",
"Vereador","PB","AROEIRAS","PP","11000","JOSE LEONCIO DA SILVA","259","Suplente","2.336","PP / PDT / PFL",
"Vereador","PB","AROEIRAS","PSDB","45777","JOSEFA DE LOURDES ALVES DE MOURA","167","Suplente","1.507","PSDB / PPS / PT / PTB / PSL / PSC / PC do B",
"Vereador","PB","AROEIRAS","PP","11456","LEONARDO BEZERRA DE SOUZA","133","Suplente","1.200","PP / PDT / PFL",
"Vereador","PB","AROEIRAS","PMDB","15611","LOURIVAL PEREIRA DE LIMA","14","Não eleito","0.126","(sem coligação)",
"Vereador","PB","AROEIRAS","PTB","14444","MANOEL AVELINO DA SILVA","384","Eleito","3.464","PSDB / PPS / PT / PTB / PSL / PSC / PC do B",
"Vereador","PB","AROEIRAS","PP","11444","MANOEL DE SOUZA ANDRADE","293","Suplente","2.643","PP / PDT / PFL",
"Vereador","PB","AROEIRAS","PMN","33555","MANOEL PEREIRA DE LUCENA","41","Não eleito","0.370","PL / PMN",
"Vereador","PB","AROEIRAS","PMDB","15122","MANOEL ZUZA SOBRINHO","8","Não eleito","0.072","(sem coligação)",
"Vereador","PB","AROEIRAS","PSC","20123","MARIA DA PAZ GONÇALVES DE MENEZES","54","Suplente","0.487","PSDB / PPS / PT / PTB / PSL / PSC / PC do B",
"Vereador","PB","AROEIRAS","PT","13555","MARIA DE JESUS FERREIRA DA SILVA","80","Suplente","0.722","PSDB / PPS / PT / PTB / PSL / PSC / PC do B",
"Vereador","PB","AROEIRAS","PSDB","45111","MARIA JOSE BARBOSA","119","Suplente","1.074","PSDB / PPS / PT / PTB / PSL / PSC / PC do B",
