Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (PIAUI) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
26/04/2009 - 13:58:35  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","PI","BENEDITINOS","PT","13222","DEUSDETE LIBANIO DE MESQUITA","17","Não eleito","0.266","PT / PC do B",
"Vereador","PI","BENEDITINOS","PSB","40000","DOMINGOS PINHEIRO RIBEIRO","161","Suplente","2.516","PSL / PFL / PSB",
"Vereador","PI","BENEDITINOS","PC do B","65125","EDMILSON PESSOA LIBANIO","62","Não eleito","0.969","PT / PC do B",
"Vereador","PI","BENEDITINOS","PSB","40123","ELBERT LOPES DA SILVA","142","Suplente","2.219","PSL / PFL / PSB",
"Vereador","PI","BENEDITINOS","PC do B","65789","ERISLENE DOS REIS MONTEIRO","42","Não eleito","0.656","PT / PC do B",
"Vereador","PI","BENEDITINOS","PC do B","65114","FRANCISCA ALVES PESSOA","11","Não eleito","0.172","PT / PC do B",
"Vereador","PI","BENEDITINOS","PFL","25602","FRANCISCA RIBEIRO DA COSTA SANTOS","478","Eleito","7.471","PSL / PFL / PSB",
"Vereador","PI","BENEDITINOS","PFL","25604","FRANCISCO ALVES DE ABREU","228","Eleito","3.564","PSL / PFL / PSB",
"Vereador","PI","BENEDITINOS","PFL","25000","FRANCISCO EDVAL CAMPELO ALMENDRA JUNIOR","307","Eleito","4.798","PSL / PFL / PSB",
"Vereador","PI","BENEDITINOS","PSDB","45612","FRANCISCO MENDES DO VALE","272","Eleito","4.251","PDT / PL / PPS / PMN / PV / PSDB",
"Vereador","PI","BENEDITINOS","PT","13456","GILMAR MENDES DE MOURA","34","Não eleito","0.531","PT / PC do B",
"Vereador","PI","BENEDITINOS","PP","11115","HERCULANO BORGES PIMENTEL","64","Suplente","1.000","PP / PTB / PMDB",
"Vereador","PI","BENEDITINOS","PP","11234","JOÃO DA MATA PESSOA","31","Suplente","0.485","PP / PTB / PMDB",
"Vereador","PI","BENEDITINOS","PDT","12611","JOÃO DE DEUS DA SILVA","274","Eleito","4.283","PDT / PL / PPS / PMN / PV / PSDB",
"Vereador","PI","BENEDITINOS","PSDB","45789","JOFRÂNIO DE ALENCAR MAGALHAES","183","Suplente","2.860","PDT / PL / PPS / PMN / PV / PSDB",
"Vereador","PI","BENEDITINOS","PMDB","15101","JOSÉ ARCANJO DE MOURA","191","Eleito por Média","2.985","PP / PTB / PMDB",
"Vereador","PI","BENEDITINOS","PTB","14567","JOSÉ DA CRUZ LIBÂNIO","113","Suplente","1.766","PP / PTB / PMDB",
"Vereador","PI","BENEDITINOS","PT","13333","JOSE EMILIO DE SOUSA DA ROCHA","56","Não eleito","0.875","PT / PC do B",
"Vereador","PI","BENEDITINOS","PDT","12345","JOSE FRANCISCO DE OLIVEIRA NETO","47","Suplente","0.735","PDT / PL / PPS / PMN / PV / PSDB",
"Vereador","PI","BENEDITINOS","PC do B","65456","JOSE VALDO DA SILVA","34","Não eleito","0.531","PT / PC do B",
"Vereador","PI","BENEDITINOS","PFL","25369","JUAREZ CAMPÊLO DA FONSÉCA","10","Suplente","0.156","PSL / PFL / PSB",
"Vereador","PI","BENEDITINOS","PFL","25123","JULDACI DOS SANTOS ABREU","103","Suplente","1.610","PSL / PFL / PSB",
"Vereador","PI","BENEDITINOS","PPS","23111","JUSTINO PINHEIRO DE VIVEIROS","200","Suplente","3.126","PDT / PL / PPS / PMN / PV / PSDB",
