Justiça Eleitoral - Eleições Municipais 2004
Consulta de Resultados Eleitorais - Resultado da Eleição
UF (AMAPA) - Município (TODOS) - Cargo (TODOS) - Situação (TODAS) - Partido (TODOS)
25/04/2009 - 20:40:10  -  Dados sujeitos a alteração
Última atualização em: 06/03/2008

Cargo,UF,Município,Partido,Nr.,Candidato,Votos Nominais,Situação,%/Válidos,Coligação
"Vereador","AP","CALCOENE","PT","13666","UBIRACI DA SILVA NUNES","171","Eleito","4.119","(sem coligação)",
"Vereador","AP","CALCOENE","PSB","40610","VALMIR DENIUR DE ALMEIDA","349","Eleito","8.408","PMDB / PSB / PT do B",
"Vereador","AP","CUTIAS","PDT","12580","ALAERSON PALMERIM ALVES","51","Suplente","2.158","PDT / PPS / PFL / PV",
"Vereador","AP","CUTIAS","PTB","14111","ALZEMIRO COSTA MARQUES","45","Suplente","1.904","PTB / PSB",
"Vereador","AP","CUTIAS","PTB","14401","ANTONIO DOS SANTOS","18","Suplente","0.762","PTB / PSB",
"Vereador","AP","CUTIAS","PFL","25625","BENEDITO ROCHA BRITO","101","Eleito","4.274","PDT / PPS / PFL / PV",
"Vereador","AP","CUTIAS","PDT","12123","CANTARELI BRITO MIRA","157","Eleito","6.644","PDT / PPS / PFL / PV",
"Vereador","AP","CUTIAS","PP","11222","CLEIDE COELHO DOS SANTOS DIAS","28","Não eleito","1.185","PP / PT",
"Vereador","AP","CUTIAS","PDT","12780","DEOLCINO FONSECA MARQUES","34","Suplente","1.439","PDT / PPS / PFL / PV",
"Vereador","AP","CUTIAS","PTB","14369","DORACY PANTOJA DAS NEVES","21","Suplente","0.889","PTB / PSB",
"Vereador","AP","CUTIAS","PDT","12325","ELIELL DO NASCIMENTO SANTOS","83","Eleito","3.512","PDT / PPS / PFL / PV",
"Vereador","AP","CUTIAS","PDT","12327","EMANUEL LEAL DA CUNHA","37","Suplente","1.566","PDT / PPS / PFL / PV",
"Vereador","AP","CUTIAS","PSB","40666","ENALDO PANTOJA ALVES","90","Eleito","3.809","PTB / PSB",
"Vereador","AP","CUTIAS","PPS","23456","ENILSON BRITO PANTOJA","55","Suplente","2.328","PDT / PPS / PFL / PV",
"Vereador","AP","CUTIAS","PMDB","15555","FORTUNATO SARGES DOS SANTOS","63","Suplente","2.666","PMDB / PL / PT do B",
"Vereador","AP","CUTIAS","PSB","40123","GILVANDRO MARCOS MONTEIRO DE OLIVEIRA","33","Suplente","1.397","PTB / PSB",
"Vereador","AP","CUTIAS","PSB","40404","ILNETE FERREIRA BRAZÃO RABELO","76","Suplente","3.216","PTB / PSB",
"Vereador","AP","CUTIAS","PV","43123","JOAO JACI FERREIRA DA SILVA","75","Suplente","3.174","PDT / PPS / PFL / PV",
"Vereador","AP","CUTIAS","PMDB","15666","JOÃO MARIA DOS ANJOS LEITE","44","Suplente","1.862","PMDB / PL / PT do B",
"Vereador","AP","CUTIAS","PDT","12345","JODECI FARIAS PEREIRA","74","Suplente","3.132","PDT / PPS / PFL / PV",
"Vereador","AP","CUTIAS","PMDB","15888","JONEL FARIAS PEREIRA","27","Suplente","1.143","PMDB / PL / PT do B",
"Vereador","AP","CUTIAS","PMDB","15678","JOSE AUGUSTO TOLOSA VAZ","68","Suplente","2.878","PMDB / PL / PT do B",
"Vereador","AP","CUTIAS","PSB","40222","JOSE ROBERTO TOLOSA VAZ","29","Suplente","1.227","PTB / PSB",
"Vereador","AP","CUTIAS","PT do B","70123","JOSIMI BRAZAO VAZ","106","Eleito","4.486","PMDB / PL / PT do B",
"Vereador","AP","CUTIAS","PPS","23123","LAFAIETE MIRA RABELO","76","Eleito por Média","3.216","PDT / PPS / PFL / PV",
"Vereador","AP","CUTIAS","PSB","40122","LUANALI SARMENTO CARDOSO","54","Suplente","2.285","PTB / PSB",
"Vereador","AP","OIAPOQUE","PT do B","70620","TEREZINHA DE JESUS SILVA","13","Não eleito","0.174","PT do B / PPS / PHS",
"Vereador","AP","OIAPOQUE","PDT","12100","VALDIFRANCE BORGES DA SILVA","400","Eleito","5.350","PDT / PMDB / PFL / PSDB / PSC",
"Vereador","AP","OIAPOQUE","PP","11234","VALNILTON GONZAGA DA SILVA","59","Não eleito","0.789","(sem coligação)",
"Vereador","AP","OIAPOQUE","PV","43555","VÂNIA DOS SANTOS SOARES","114","Suplente","1.525","PL / PV / PT",
"Vereador","AP","OIAPOQUE","PDT","12369","ZILDO FELÍCIO","69","Suplente","0.923","PDT / PMDB / PFL / PSDB / PSC",
"Vereador","AP","PORTO GRANDE","PSC","20123","ABRÃO MONTEIRO REPOLHO","76","Suplente","1.378","PP / PSC",
"Vereador","AP","PORTO GRANDE","PDT","12000","ADAMIR LOBATO NUNES","77","Suplente","1.396","PDT / PL",
"Vereador","AP","PORTO GRANDE","PDT","12258","ADSON JOSE DE ALMEIDA LIMA","23","Suplente","0.417","PDT / PL",
"Vereador","AP","PORTO GRANDE","PSL","17456","AILDO RIGOR DE ARAÚJO","69","Suplente","1.251","PSL / PRTB / PSB",
"Vereador","AP","PORTO GRANDE","PPS","23789","ANILTON GALVÃO LOPES","95","Não eleito","1.723","(sem coligação)",
"Vereador","AP","PORTO GRANDE","PPS","23456","ANTONIO DE SOUZA FERREIRA","135","Não eleito","2.448","(sem coligação)",
"Vereador","AP","PORTO GRANDE","PSB","40606","ANTONIO DE SOUZA PEREIRA","246","Eleito","4.461","PSL / PRTB / PSB",
"Vereador","AP","PORTO GRANDE","PSL","17234","ANTONIO SOARES DA COSTA","22","Suplente","0.399","PSL / PRTB / PSB",
"Vereador","AP","PORTO GRANDE","PV","43132","ANTONIO TORQUATO DO NASCIMENTO","45","Suplente","0.816","PT / PTB / PV / PT do B",
"Vereador","AP","PORTO GRANDE","PDT","12456","AROLDO DE FREITAS PEREIRA","129","Suplente","2.339","PDT / PL",
"Vereador","AP","PORTO GRANDE","PT do B","70456","CLEUDEVAN GOMES BASTOS","40","Suplente","0.725","PT / PTB / PV / PT do B",
"Vereador","AP","PORTO GRANDE","PSDB","45123","DANIEL EVANGELISTA DOS SANTOS","115","Não eleito","2.085","PMDB / PFL / PSDC / PSDB",
"Vereador","AP","PORTO GRANDE","PSDB","45678","DEUZIVAN DOS SANTOS SOUZA","80","Não eleito","1.451","PMDB / PFL / PSDC / PSDB",
"Vereador","AP","PORTO GRANDE","PSC","20111","DOMINGOS ARAÚJO SOUZA","106","Suplente","1.922","PP / PSC",
"Vereador","AP","PORTO GRANDE","PSDB","45121","EDILSON NUNES VIEIRA DA SILVA","121","Não eleito","2.194","PMDB / PFL / PSDC / PSDB",
"Vereador","AP","PORTO GRANDE","PSL","17147","EDNELSON CARDOSO DE SOUZA","13","Suplente","0.236","PSL / PRTB / PSB",
"Vereador","AP","PORTO GRANDE","PSDB","45167","ELFREDO FERREIRA","49","Não eleito","0.888","PMDB / PFL / PSDC / PSDB",
"Vereador","AP","PORTO GRANDE","PDT","12333","ERASMO CARLOS ALVES LOPES","37","Suplente","0.671","PDT / PL",
"Vereador","AP","PORTO GRANDE","PSDC","27234","ESTEVAM DOS SANTOS NASCIMENTO","23","Não eleito","0.417","PMDB / PFL / PSDC / PSDB",
"Vereador","AP","PORTO GRANDE","PV","43121","EUZARINA PEREIRA DE SOUZA LINO","11","Suplente","0.199","PT / PTB / PV / PT do B",
"Vereador","AP","PORTO GRANDE","PP","11333","EVA OLIVEIRA MIGUEL","48","Suplente","0.870","PP / PSC",
"Vereador","AP","PORTO GRANDE","PPS","23151","FERNANDO NAZARENO SANTOS BARRETO","5","Não eleito","0.091","(sem coligação)",
"Vereador","AP","PORTO GRANDE","PL","22333","FRANCISCO DE ASSIS RIBEIRO FREITAS","48","Suplente","0.870","PDT / PL",
"Vereador","AP","PORTO GRANDE","PTB","14111","FRANCIVAN FERREIRA DA CONCEIÇÃO","60","Suplente","1.088","PT / PTB / PV / PT do B",
"Vereador","AP","PORTO GRANDE","PSB","40456","FRANKNEY COELHO SOARES","19","Suplente","0.345","PSL / PRTB / PSB",
"Vereador","AP","PORTO GRANDE","PT do B","70369","GILVAN DA SILVA SANTOS","98","Suplente","1.777","PT / PTB / PV / PT do B",
"Vereador","AP","PORTO GRANDE","PT","13580","GILVAN MIRA PANTOJA","1","Suplente","0.018","PT / PTB / PV / PT do B",
"Vereador","AP","AMAPARI","PSDB","45609","PERES DA SILVA MAIA","31","Suplente","1.358","PTB / PMDB / PSDB",
"Vereador","AP","AMAPARI","PSDB","45150","RAIMUNDO COSTA TEIXEIRA","40","Suplente","1.753","PTB / PMDB / PSDB",
"Vereador","AP","AMAPARI","PSB","40612","RAIMUNDO NONATO SOUZA MIRANDA","94","Eleito","4.119","(sem coligação)",
"Vereador","AP","AMAPARI","PT do B","70456","RENILTON FARIA","0","Suplente","0.000","PP / PV / PT do B",
"Vereador","AP","AMAPARI","PDT","12666","RODRIGO REIS MACIEL","109","Eleito","4.777","PDT / PT / PL",
"Vereador","AP","AMAPARI","PL","22789","ROSENILDO DE SOUSA NUNES","21","Suplente","0.920","PDT / PT / PL",
"Vereador","AP","AMAPARI","PT","13123","RUBENS APOSTOLO SANTANA","71","Suplente","3.111","PDT / PT / PL",
"Vereador","AP","AMAPARI","PP","11236","SIDVAN LIRA DOS SANTOS","0","Suplente","0.000","PP / PV / PT do B",
"Vereador","AP","AMAPARI","PMDB","15611","SIMÃO DOS SANTOS SILVA","50","Suplente","2.191","PTB / PMDB / PSDB",
"Vereador","AP","AMAPARI","PV","43456","WILLIAN ORANY SÁ E SILVA","65","Eleito por Média","2.848","PP / PV / PT do B",
"Vereador","AP","AMAPARI","PDT","12345","ZAQUEU PANTOJA DE MORAES","83","Suplente","3.637","PDT / PT / PL",
